वाक्यम्,कर्ता,कर्म,क्रिया,कालः
भिक्षुः भिक्षाम् अयाचत,भिक्षुः,भिक्षाम्,अयाचत,भूत
चोरः धनम् अचोरयत्,चोरः,धनम्,अचोरयत्,भूत
दस्युः ग्रामम् अलुण्ठत्,दस्युः,ग्रामम्,अलुण्ठत्,भूत
हन्ता प्राणान् अहन्,हन्ता,प्राणान्,अहन्,भूत
व्याघ्री शावकम् अपोषयत्,व्याघ्री,शावकम्,अपोषयत्,भूत
सिंही गुहाम् प्राविशत्,सिंही,गुहाम्,प्राविशत्,भूत
हस्ती तरुम् अभिनत्,हस्ती,तरुम्,अभिनत्,भूत
वृषभः शकटम् अकर्षत्,वृषभः,शकटम्,अकर्षत्,भूत
गर्दभः भारम् अवहत्,गर्दभः,भारम्,अवहत्,भूत
उष्ट्रः मरुम् अलङ्घत,उष्ट्रः,मरुम्,अलङ्घत,भूत
काकः पिण्डम् अभक्षयत्,काकः,पिण्डम्,अभक्षयत्,भूत
हंसः नीरम् अविविनक्,हंसः,नीरम्,अविविनक्,भूत
बकः मीनान् अगिलत्,बकः,मीनान्,अगिलत्,भूत
कोकिलः पञ्चमम् अगायत्,कोकिलः,पञ्चमम्,अगायत्,भूत
भ्रमरः पुष्पम् अचुम्बत्,भ्रमरः,पुष्पम्,अचुम्बत्,भूत
मधुमक्षिका क्षौद्रम् असञ्चिनोत्,मधुमक्षिका,क्षौद्रम्,असञ्चिनोत्,भूत
मण्डूकः कीटम् अखादत्,मण्डूकः,कीटम्,अखादत्,भूत
कच्छपः कूर्पमम् असङ्कोचयत्,कच्छपः,कूर्पमम्,असङ्कोचयत्,भूत
मत्स्यः जलम् अगाहत,मत्स्यः,जलम्,अगाहत,भूत
सर्पः फणम् अविस्तारयत्,सर्पः,फणम्,अविस्तारयत्,भूत
बालकः क्षीरं पिबति,बालकः,क्षीरम्,पिबति,वर्तमान
बालिका पुष्पाणि चिनोति,बालिका,पुष्पाणि,चिनोति,वर्तमान
शिशुः रोदनं करोति,शिशुः,रोदनम्,करोति,वर्तमान
कुमारः धनुः आकर्षति,कुमारः,धनुः,आकर्षति,वर्तमान
कुमारी वेणीं गुम्फति,कुमारी,वेणीम्,गुम्फति,वर्तमान
तरुणः कन्यां पश्यति,तरुणः,कन्याम्,पश्यति,वर्तमान
तरुणी सखीम् आह्वयति,तरुणी,सखीम्,आह्वयति,वर्तमान
वृद्धः कासं करोति,वृद्धः,कासम्,करोति,वर्तमान
वृद्धा दण्डं धारयति,वृद्धा,दण्डम्,धारयति,वर्तमान
युवा उत्साहं दर्शयति,युवा,उत्साहम्,दर्शयति,वर्तमान
बालकः क्षीरं पास्यति,बालकः,क्षीरम्,पास्यति,भविष्यत्
बालिका पुष्पाणि चेष्यति,बालिका,पुष्पाणि,चेष्यति,भविष्यत्
शिशुः रोदनं करिष्यति,शिशुः,रोदनम्,करिष्यति,भविष्यत्
कुमारः धनुः आक्रक्ष्यति,कुमारः,धनुः,आक्रक्ष्यति,भविष्यत्
कुमारी वेणीं गुम्फिष्यति,कुमारी,वेणीम्,गुम्फिष्यति,भविष्यत्
तरुणः कन्यां द्रक्ष्यति,तरुणः,कन्याम्,द्रक्ष्यति,भविष्यत्
तरुणी सखीम् आह्वयिष्यति,तरुणी,सखीम्,आह्वयिष्यति,भविष्यत्
वृद्धः कासं करिष्यति,वृद्धः,कासम्,करिष्यति,भविष्यत्
वृद्धा दण्डं धारयिष्यति,वृद्धा,दण्डम्,धारयिष्यति,भविष्यत्
युवा उत्साहं दर्शयिष्यति,युवा,उत्साहम्,दर्शयिष्यति,भविष्यत्
देवः वरं ददाति,देवः,वरम्,ददाति,वर्तमान
असुरः विघ्नं करोति,असुरः,विघ्नम्,करोति,वर्तमान
मानवः सुखं वाञ्छति,मानवः,सुखम्,वाञ्छति,वर्तमान
गन्धर्वः गानं गायति,गन्धर्वः,गानम्,गायति,वर्तमान
किन्नरः वाद्यं वादयति,किन्नरः,वाद्यम्,वादयति,वर्तमान
विद्याधरः मन्त्रं जपति,विद्याधरः,मन्त्रम्,जपति,वर्तमान
यक्षः निधिं रक्षति,यक्षः,निधिम्,रक्षति,वर्तमान
राक्षसः मांसं खादति,राक्षसः,मांसम्,खादति,वर्तमान
पिशाचः रुधिरं पिबति,पिशाचः,रुधिरम्,पिबति,वर्तमान
भूतः भयं जनयति,भूतः,भयम्,जनयति,वर्तमान
देवः वरं दास्यति,देवः,वरम्,दास्यति,भविष्यत्
असुरः विघ्नं करिष्यति,असुरः,विघ्नम्,करिष्यति,भविष्यत्
मानवः सुखं वाञ्छिष्यति,मानवः,सुखम्,वाञ्छिष्यति,भविष्यत्
गन्धर्वः गानं गास्यति,गन्धर्वः,गानम्,गास्यति,भविष्यत्
किन्नरः वाद्यं वादयिष्यति,किन्नरः,वाद्यम्,वादयिष्यति,भविष्यत्
विद्याधरः मन्त्रं जपिष्यति,विद्याधरः,मन्त्रम्,जपिष्यति,भविष्यत्
यक्षः निधिं रक्षिष्यति,यक्षः,निधिम्,रक्षिष्यति,भविष्यत्
राक्षसः मांसं खादिष्यति,राक्षसः,मांसम्,खादिष्यति,भविष्यत्
पिशाचः रुधिरं पास्यति,पिशाचः,रुधिरम्,पास्यति,भविष्यत्
भूतः भयं जनयिष्यति,भूतः,भयम्,जनयिष्यति,भविष्यत्
देवः वरम् अददात्,देवः,वरम्,अददात्,भूत
असुरः विघ्नम् अकरोत्,असुरः,विघ्नम्,अकरोत्,भूत
मानवः सुखम् अवाञ्छत्,मानवः,सुखम्,अवाञ्छत्,भूत
गन्धर्वः गानम् अगायत्,गन्धर्वः,गानम्,अगायत्,भूत
किन्नरः वाद्यम् अवादयत्,किन्नरः,वाद्यम्,अवादयत्,भूत
विद्याधरः मन्त्रम् अजपत्,विद्याधरः,मन्त्रम्,अजपत्,भूत
यक्षः निधिम् अरक्षत्,यक्षः,निधिम्,अरक्षत्,भूत
राक्षसः मांसम् अखादत्,राक्षसः,मांसम्,अखादत्,भूत
पिशाचः रुधिरम् अपिबत्,पिशाचः,रुधिरम्,अपिबत्,भूत
भूतः भयम् अजनयत्,भूतः,भयम्,अजनयत्,भूत
नारदः कलहं करोति,नारदः,कलहम्,करोति,वर्तमान
वसिष्ठः कामधेनुं पालयति,वसिष्ठः,कामधेनुम्,पालयति,वर्तमान
विश्वामित्रः त्रिशङ्कुं पश्यति,विश्वामित्रः,त्रिशङ्कुम्,पश्यति,वर्तमान
अगस्त्यः समुद्रं पिबति,अगस्त्यः,समुद्रम्,पिबति,वर्तमान
भृगुः कोपं करोति,भृगुः,कोपम्,करोति,वर्तमान
अङ्गिराः यज्ञं करोति,अङ्गिराः,यज्ञम्,करोति,वर्तमान
पुलस्त्यः रावणं बोधयति,पुलस्त्यः,रावणम्,बोधयति,वर्तमान
क्रतुः सृष्टिं करोति,क्रतुः,सृष्टिम्,करोति,वर्तमान
मरीचिः तेजः ददाति,मरीचिः,तेजः,ददाति,वर्तमान
अत्रिः चन्द्रं सृजति,अत्रिः,चन्द्रम्,सृजति,वर्तमान
नारदः कलहं करिष्यति,नारदः,कलहम्,करिष्यति,भविष्यत्
वसिष्ठः कामधेनुं पालयिष्यति,वसिष्ठः,कामधेनुम्,पालयिष्यति,भविष्यत्
विश्वामित्रः त्रिशङ्कुं द्रक्ष्यति,विश्वामित्रः,त्रिशङ्कुम्,द्रक्ष्यति,भविष्यत्
अगस्त्यः समुद्रं पास्यति,अगस्त्यः,समुद्रम्,पास्यति,भविष्यत्
भृगुः कोपं करिष्यति,भृगुः,कोपम्,करिष्यति,भविष्यत्
अङ्गिराः यज्ञं करिष्यति,अङ्गिराः,यज्ञम्,करिष्यति,भविष्यत्
पुलस्त्यः रावणं बोधयिष्यति,पुलस्त्यः,रावणम्,बोधयिष्यति,भविष्यत्
क्रतुः सृष्टिं करिष्यति,क्रतुः,सृष्टिम्,करिष्यति,भविष्यत्
मरीचिः तेजः दास्यति,मरीचिः,तेजः,दास्यति,भविष्यत्
अत्रिः चन्द्रं स्रक्ष्यति,अत्रिः,चन्द्रम्,स्रक्ष्यति,भविष्यत्
नारदः कलहम् अकरोत्,नारदः,कलहम्,अकरोत्,भूत
वसिष्ठः कामधेनुम् अपालयत्,वसिष्ठः,कामधेनुम्,अपालयत्,भूत
विश्वामित्रः त्रिशङ्कुम् अपश्यत्,विश्वामित्रः,त्रिशङ्कुम्,अपश्यत्,भूत
अगस्त्यः समुद्रम् अपिबत्,अगस्त्यः,समुद्रम्,अपिबत्,भूत
भृगुः कोपम् अकरोत्,भृगुः,कोपम्,अकरोत्,भूत
अङ्गिराः यज्ञम् अकरोत्,अङ्गिराः,यज्ञम्,अकरोत्,भूत
पुलस्त्यः रावणम् अबोधयत्,पुलस्त्यः,रावणम्,अबोधयत्,भूत
क्रतुः सृष्टिम् अकरोत्,क्रतुः,सृष्टिम्,अकरोत्,भूत
मरीचिः तेजः अददात्,मरीचिः,तेजः,अददात्,भूत
अत्रिः चन्द्रम् असृजत्,अत्रिः,चन्द्रम्,असृजत्,भूत
सविता प्रकाशं करोति,सविता,प्रकाशम्,करोति,वर्तमान
अर्यमा धर्मं पालयति,अर्यमा,धर्मम्,पालयति,वर्तमान
भगः भाग्यं ददाति,भगः,भाग्यम्,ददाति,वर्तमान
पूषा मार्गं रक्षति,पूषा,मार्गम्,रक्षति,वर्तमान
मित्रावरुणौ वृष्टिं कुरुतः,मित्रावरुणौ,वृष्टिम्,कुरुतः,वर्तमान
अश्विनौ वैद्यं कुरुतः,अश्विनौ,वैद्यम्,कुरुतः,वर्तमान
रुद्रः रोगं नाशयति,रुद्रः,रोगम्,नाशयति,वर्तमान
मरुतः वायुं वहन्ति,मरुतः,वायुम्,वहन्ति,वर्तमान
पर्जन्यः मेघं वर्षति,पर्जन्यः,मेघम्,वर्षति,वर्तमान
सोमः ओषधीः पोषयति,सोमः,ओषधीः,पोषयति,वर्तमान
सविता प्रकाशं करिष्यति,सविता,प्रकाशम्,करिष्यति,भविष्यत्
अर्यमा धर्मं पालयिष्यति,अर्यमा,धर्मम्,पालयिष्यति,भविष्यत्
भगः भाग्यं दास्यति,भगः,भाग्यम्,दास्यति,भविष्यत्
पूषा मार्गं रक्षिष्यति,पूषा,मार्गम्,रक्षिष्यति,भविष्यत्
मित्रावरुणौ वृष्टिं करिष्यतः,मित्रावरुणौ,वृष्टिम्,करिष्यतः,भविष्यत्
अश्विनौ वैद्यं करिष्यतः,अश्विनौ,वैद्यम्,करिष्यतः,भविष्यत्
रुद्रः रोगं नाशयिष्यति,रुद्रः,रोगम्,नाशयिष्यति,भविष्यत्
मरुतः वायुं वक्ष्यन्ति,मरुतः,वायुम्,वक्ष्यन्ति,भविष्यत्
पर्जन्यः मेघं वर्षिष्यति,पर्जन्यः,मेघम्,वर्षिष्यति,भविष्यत्
सोमः ओषधीः पोषयिष्यति,सोमः,ओषधीः,पोषयिष्यति,भविष्यत्
सविता प्रकाशम् अकरोत्,सविता,प्रकाशम्,अकरोत्,भूत
अर्यमा धर्मम् अपालयत्,अर्यमा,धर्मम्,अपालयत्,भूत
भगः भाग्यम् अददात्,भगः,भाग्यम्,अददात्,भूत
पूषा मार्गम् अरक्षत्,पूषा,मार्गम्,अरक्षत्,भूत
मित्रावरुणौ वृष्टिम् अकुरुताम्,मित्रावरुणौ,वृष्टिम्,अकुरुताम्,भूत
अश्विनौ वैद्यम् अकुरुताम्,अश्विनौ,वैद्यम्,अकुरुताम्,भूत
रुद्रः रोगम् अनाशयत्,रुद्रः,रोगम्,अनाशयत्,भूत
मरुतः वायुम् अवहन्,मरुतः,वायुम्,अवहन्,भूत
पर्जन्यः मेघम् अवर्षत्,पर्जन्यः,मेघम्,अवर्षत्,भूत
सोमः ओषधीः अपोषयत्,सोमः,ओषधीः,अपोषयत्,भूत
गङ्गा पापं हरति,गङ्गा,पापम्,हरति,वर्तमान
यमुना श्यामवर्णं धारयति,यमुना,श्यामवर्णम्,धारयति,वर्तमान
सरस्वती ज्ञानं ददाति,सरस्वती,ज्ञानम्,ददाति,वर्तमान
गोदावरी जलं वहति,गोदावरी,जलम्,वहति,वर्तमान
नर्मदा पाषाणं क्षालयति,नर्मदा,पाषाणम्,क्षालयति,वर्तमान
सिन्धुः सागरं प्राप्नोति,सिन्धुः,सागरम्,प्राप्नोति,वर्तमान
कावेरी क्षेत्रं सिञ्चति,कावेरी,क्षेत्रम्,सिञ्चति,वर्तमान
ब्रह्मपुत्रः नदं वहति,ब्रह्मपुत्रः,नदम्,वहति,वर्तमान
शरयू रामं स्मरति,शरयू,रामम्,स्मरति,वर्तमान
मन्दाकिनी कुसुमानि वहति,मन्दाकिनी,कुसुमानि,वहति,वर्तमान
गङ्गा पापं हरिष्यति,गङ्गा,पापम्,हरिष्यति,भविष्यत्
यमुना श्यामवर्णं धारयिष्यति,यमुना,श्यामवर्णम्,धारयिष्यति,भविष्यत्
सरस्वती ज्ञानं दास्यति,सरस्वती,ज्ञानम्,दास्यति,भविष्यत्
गोदावरी जलं वक्ष्यति,गोदावरी,जलम्,वक्ष्यति,भविष्यत्
नर्मदा पाषाणं क्षालयिष्यति,नर्मदा,पाषाणम्,क्षालयिष्यति,भविष्यत्
सिन्धुः सागरं प्राप्स्यति,सिन्धुः,सागरम्,प्राप्स्यति,भविष्यत्
कावेरी क्षेत्रं सेक्ष्यति,कावेरी,क्षेत्रम्,सेक्ष्यति,भविष्यत्
ब्रह्मपुत्रः नदं वक्ष्यति,ब्रह्मपुत्रः,नदम्,वक्ष्यति,भविष्यत्
शरयू रामं स्मरिष्यति,शरयू,रामम्,स्मरिष्यति,भविष्यत्
मन्दाकिनी कुसुमानि वक्ष्यति,मन्दाकिनी,कुसुमानि,वक्ष्यति,भविष्यत्
गङ्गा पापम् अहरत्,गङ्गा,पापम्,अहरत्,भूत
यमुना श्यामवर्णम् अधारयत्,यमुना,श्यामवर्णम्,अधारयत्,भूत
सरस्वती ज्ञानम् अददात्,सरस्वती,ज्ञानम्,अददात्,भूत
गोदावरी जलम् अवहत्,गोदावरी,जलम्,अवहत्,भूत
नर्मदा पाषाणम् अक्षालयत्,नर्मदा,पाषाणम्,अक्षालयत्,भूत
सिन्धुः सागरम् अप्राप्नोत्,सिन्धुः,सागरम्,अप्राप्नोत्,भूत
कावेरी क्षेत्रम् असिञ्चत्,कावेरी,क्षेत्रम्,असिञ्चत्,भूत
ब्रह्मपुत्रः नदम् अवहत्,ब्रह्मपुत्रः,नदम्,अवहत्,भूत
शरयू रामम् अस्मरत्,शरयू,रामम्,अस्मरत्,भूत
मन्दाकिनी कुसुमानि अवहत्,मन्दाकिनी,कुसुमानि,अवहत्,भूत
हिमालयः शीतं ददाति,हिमालयः,शीतम्,ददाति,वर्तमान
विन्ध्यः मार्गं रुणद्धि,विन्ध्यः,मार्गम्,रुणद्धि,वर्तमान
मलयः चन्दनं जनयति,मलयः,चन्दनम्,जनयति,वर्तमान
महेन्द्रः पर्जन्यं जनयति,महेन्द्रः,पर्जन्यम्,जनयति,वर्तमान
ऋक्षः भल्लूकं पालयति,ऋक्षः,भल्लूकम्,पालयति,वर्तमान
पारियात्रः नदीः जनयति,पारियात्रः,नदीः,जनयति,वर्तमान
सह्यः वनं रक्षति,सह्यः,वनम्,रक्षति,वर्तमान
कैलासः शिवं धारयति,कैलासः,शिवम्,धारयति,वर्तमान
गन्धमादनः वानरान् पोषयति,गन्धमादनः,वानरान्,पोषयति,वर्तमान
सुमेरुः स्वर्णं ददाति,सुमेरुः,स्वर्णम्,ददाति,वर्तमान
हिमालयः शीतं दास्यति,हिमालयः,शीतम्,दास्यति,भविष्यत्
विन्ध्यः मार्गं रोत्स्यति,विन्ध्यः,मार्गम्,रोत्स्यति,भविष्यत्
मलयः चन्दनं जनयिष्यति,मलयः,चन्दनम्,जनयिष्यति,भविष्यत्
महेन्द्रः पर्जन्यं जनयिष्यति,महेन्द्रः,पर्जन्यम्,जनयिष्यति,भविष्यत्
ऋक्षः भल्लूकं पालयिष्यति,ऋक्षः,भल्लूकम्,पालयिष्यति,भविष्यत्
पारियात्रः नदीः जनयिष्यति,पारियात्रः,नदीः,जनयिष्यति,भविष्यत्
सह्यः वनं रक्षिष्यति,सह्यः,वनम्,रक्षिष्यति,भविष्यत्
कैलासः शिवं धारयिष्यति,कैलासः,शिवम्,धारयिष्यति,भविष्यत्
गन्धमादनः वानरान् पोषयिष्यति,गन्धमादनः,वानरान्,पोषयिष्यति,भविष्यत्
सुमेरुः स्वर्णं दास्यति,सुमेरुः,स्वर्णम्,दास्यति,भविष्यत्
हिमालयः शीतम् अददात्,हिमालयः,शीतम्,अददात्,भूत
विन्ध्यः मार्गम् अरुणत्,विन्ध्यः,मार्गम्,अरुणत्,भूत
मलयः चन्दनम् अजनयत्,मलयः,चन्दनम्,अजनयत्,भूत
महेन्द्रः पर्जन्यम् अजनयत्,महेन्द्रः,पर्जन्यम्,अजनयत्,भूत
ऋक्षः भल्लूकम् अपालयत्,ऋक्षः,भल्लूकम्,अपालयत्,भूत
पारियात्रः नदीः अजनयत्,पारियात्रः,नदीः,अजनयत्,भूत
सह्यः वनम् अरक्षत्,सह्यः,वनम्,अरक्षत्,भूत
कैलासः शिवम् अधारयत्,कैलासः,शिवम्,अधारयत्,भूत
गन्धमादनः वानरान् अपोषयत्,गन्धमादनः,वानरान्,अपोषयत्,भूत
सुमेरुः स्वर्णम् अददात्,सुमेरुः,स्वर्णम्,अददात्,भूत
अयोध्या इक्ष्वाकुं पालयति,अयोध्या,इक्ष्वाकुम्,पालयति,वर्तमान
मथुरा कृष्णं जनयति,मथुरा,कृष्णम्,जनयति,वर्तमान
माया मोक्षं ददाति,माया,मोक्षम्,ददाति,वर्तमान
काशी विश्वनाथं धारयति,काशी,विश्वनाथम्,धारयति,वर्तमान
काञ्ची कामकोटीं रक्षति,काञ्ची,कामकोटीम्,रक्षति,वर्तमान
अवन्तिका महाकालं पश्यति,अवन्तिका,महाकालम्,पश्यति,वर्तमान
द्वारका वासुदेवं पालयति,द्वारका,वासुदेवम्,पालयति,वर्तमान
प्रयागः सङ्गमं रचयति,प्रयागः,सङ्गमम्,रचयति,वर्तमान
गया पितॄन् तर्पयति,गया,पितॄन्,तर्पयति,वर्तमान
पुष्करः ब्रह्माणं पश्यति,पुष्करः,ब्रह्माणम्,पश्यति,वर्तमान
अयोध्या इक्ष्वाकुं पालयिष्यति,अयोध्या,इक्ष्वाकुम्,पालयिष्यति,भविष्यत्
मथुरा कृष्णं जनयिष्यति,मथुरा,कृष्णम्,जनयिष्यति,भविष्यत्
माया मोक्षं दास्यति,माया,मोक्षम्,दास्यति,भविष्यत्
काशी विश्वनाथं धारयिष्यति,काशी,विश्वनाथम्,धारयिष्यति,भविष्यत्
काञ्ची कामकोटीं रक्षिष्यति,काञ्ची,कामकोटीम्,रक्षिष्यति,भविष्यत्
अवन्तिका महाकालं द्रक्ष्यति,अवन्तिका,महाकालम्,द्रक्ष्यति,भविष्यत्
द्वारका वासुदेवं पालयिष्यति,द्वारका,वासुदेवम्,पालयिष्यति,भविष्यत्
प्रयागः सङ्गमं रचयिष्यति,प्रयागः,सङ्गमम्,रचयिष्यति,भविष्यत्
गया पितॄन् तर्पयिष्यति,गया,पितॄन्,तर्पयिष्यति,भविष्यत्
पुष्करः ब्रह्माणं द्रक्ष्यति,पुष्करः,ब्रह्माणम्,द्रक्ष्यति,भविष्यत्
अयोध्या इक्ष्वाकुम् अपालयत्,अयोध्या,इक्ष्वाकुम्,अपालयत्,भूत
मथुरा कृष्णम् अजनयत्,मथुरा,कृष्णम्,अजनयत्,भूत
माया मोक्षम् अददात्,माया,मोक्षम्,अददात्,भूत
काशी विश्वनाथम् अधारयत्,काशी,विश्वनाथम्,अधारयत्,भूत
काञ्ची कामकोटीम् अरक्षत्,काञ्ची,कामकोटीम्,अरक्षत्,भूत
अवन्तिका महाकालम् अपश्यत्,अवन्तिका,महाकालम्,अपश्यत्,भूत
द्वारका वासुदेवम् अपालयत्,द्वारका,वासुदेवम्,अपालयत्,भूत
प्रयागः सङ्गमम् अरचयत्,प्रयागः,सङ्गमम्,अरचयत्,भूत
गया पितॄन् अतर्पयत्,गया,पितॄन्,अतर्पयत्,भूत
पुष्करः ब्रह्माणम् अपश्यत्,पुष्करः,ब्रह्माणम्,अपश्यत्,भूत
कुम्भकारः चक्रं भ्रामयति,कुम्भकारः,चक्रम्,भ्रामयति,वर्तमान
स्वर्णकारः सुवर्णं तापयति,स्वर्णकारः,सुवर्णम्,तापयति,वर्तमान
लोहकारः अयोगुडं ताडयति,लोहकारः,अयोगुडम्,ताडयति,वर्तमान
तक्षकः काष्ठं छिनत्ति,तक्षकः,काष्ठम्,छिनत्ति,वर्तमान
शिल्पी पाषाणं तक्षति,शिल्पी,पाषाणम्,तक्षति,वर्तमान
नापितः क्षुरं चालयति,नापितः,क्षुरम्,चालयति,वर्तमान
रजकः वस्त्रं क्षालयति,रजकः,वस्त्रम्,क्षालयति,वर्तमान
सौचिकः सूचीं प्रवेशयति,सौचिकः,सूचीम्,प्रवेशयति,वर्तमान
तन्तुवायः तन्तुं तनोति,तन्तुवायः,तन्तुम्,तनोति,वर्तमान
चित्रकारः वर्णं लेपयति,चित्रकारः,वर्णम्,लेपयति,वर्तमान
कुम्भकारः चक्रं भ्रामयिष्यति,कुम्भकारः,चक्रम्,भ्रामयिष्यति,भविष्यत्
स्वर्णकारः सुवर्णं तापयिष्यति,स्वर्णकारः,सुवर्णम्,तापयिष्यति,भविष्यत्
लोहकारः अयोगुडं ताडयिष्यति,लोहकारः,अयोगुडम्,ताडयिष्यति,भविष्यत्
तक्षकः काष्ठं छेत्स्यति,तक्षकः,काष्ठम्,छेत्स्यति,भविष्यत्
शिल्पी पाषाणं तक्षिष्यति,शिल्पी,पाषाणम्,तक्षिष्यति,भविष्यत्
नापितः क्षुरं चालयिष्यति,नापितः,क्षुरम्,चालयिष्यति,भविष्यत्
रजकः वस्त्रं क्षालयिष्यति,रजकः,वस्त्रम्,क्षालयिष्यति,भविष्यत्
सौचिकः सूचीं प्रवेशयिष्यति,सौचिकः,सूचीम्,प्रवेशयिष्यति,भविष्यत्
तन्तुवायः तन्तुं तनिष्यति,तन्तुवायः,तन्तुम्,तनिष्यति,भविष्यत्
चित्रकारः वर्णं लेपयिष्यति,चित्रकारः,वर्णम्,लेपयिष्यति,भविष्यत्
कुम्भकारः चक्रम् अभ्रामयत्,कुम्भकारः,चक्रम्,अभ्रामयत्,भूत
स्वर्णकारः सुवर्णम् अतापयत्,स्वर्णकारः,सुवर्णम्,अतापयत्,भूत
लोहकारः अयोगुडम् अताडयत्,लोहकारः,अयोगुडम्,अताडयत्,भूत
तक्षकः काष्ठम् अच्छिनत्,तक्षकः,काष्ठम्,अच्छिनत्,भूत
शिल्पी पाषाणम् अतक्षत्,शिल्पी,पाषाणम्,अतक्षत्,भूत
नापितः क्षुरम् अचालयत्,नापितः,क्षुरम्,अचालयत्,भूत
रजकः वस्त्रम् अक्षालयत्,रजकः,वस्त्रम्,अक्षालयत्,भूत
सौचिकः सूचीम् अप्रवेशयत्,सौचिकः,सूचीम्,अप्रवेशयत्,भूत
तन्तुवायः तन्तुम् अतनोत्,तन्तुवायः,तन्तुम्,अतनोत्,भूत
चित्रकारः वर्णम् अलेपयत्,चित्रकारः,वर्णम्,अलेपयत्,भूत
धार्मिकः दानं ददाति,धार्मिकः,दानम्,ददाति,वर्तमान
योगी ध्यानं करोति,योगी,ध्यानम्,करोति,वर्तमान
तपस्वी तपः तपति,तपस्वी,तपः,तपति,वर्तमान
ज्ञानी तत्त्वं पश्यति,ज्ञानी,तत्त्वम्,पश्यति,वर्तमान
भक्तः ईश्वरं भजति,भक्तः,ईश्वरम्,भजति,वर्तमान
संन्यासी मोहं त्यजति,संन्यासी,मोहम्,त्यजति,वर्तमान
ब्रह्मचारी वेदं पठति,ब्रह्मचारी,वेदम्,पठति,वर्तमान
गृहस्थः अतिथिं सत्कारोति,गृहस्थः,अतिथिम्,सत्कारोति,वर्तमान
वानप्रस्थः वनं गच्छति,वानप्रस्थः,वनम्,गच्छति,वर्तमान
मुमुक्षुः मोक्षं वाञ्छति,मुमुक्षुः,मोक्षम्,वाञ्छति,वर्तमान
धार्मिकः दानं दास्यति,धार्मिकः,दानम्,दास्यति,भविष्यत्
योगी ध्यानं करिष्यति,योगी,ध्यानम्,करिष्यति,भविष्यत्
तपस्वी तपः तप्स्यति,तपस्वी,तपः,तप्स्यति,भविष्यत्
ज्ञानी तत्त्वं द्रक्ष्यति,ज्ञानी,तत्त्वम्,द्रक्ष्यति,भविष्यत्
भक्तः ईश्वरं भजिष्यति,भक्तः,ईश्वरम्,भजिष्यति,भविष्यत्
संन्यासी मोहं त्यक्ष्यति,संन्यासी,मोहम्,त्यक्ष्यति,भविष्यत्
ब्रह्मचारी वेदं पठिष्यति,ब्रह्मचारी,वेदम्,पठिष्यति,भविष्यत्
गृहस्थः अतिथिं सत्कारिष्यति,गृहस्थः,अतिथिम्,सत्कारिष्यति,भविष्यत्
वानप्रस्थः वनं गमिष्यति,वानप्रस्थः,वनम्,गमिष्यति,भविष्यत्
मुमुक्षुः मोक्षं वाञ्छिष्यति,मुमुक्षुः,मोक्षम्,वाञ्छिष्यति,भविष्यत्
धार्मिकः दानम् अददात्,धार्मिकः,दानम्,अददात्,भूत
योगी ध्यानम् अकरोत्,योगी,ध्यानम्,अकरोत्,भूत
तपस्वी तपः अतपत्,तपस्वी,तपः,अतपत्,भूत
ज्ञानी तत्त्वम् अपश्यत्,ज्ञानी,तत्त्वम्,अपश्यत्,भूत
भक्तः ईश्वरम् अभजत्,भक्तः,ईश्वरम्,अभजत्,भूत
संन्यासी मोहम् अत्यजत्,संन्यासी,मोहम्,अत्यजत्,भूत
ब्रह्मचारी वेदम् अपठत्,ब्रह्मचारी,वेदम्,अपठत्,भूत
गृहस्थः अतिथिम् असत्कारोत्,गृहस्थः,अतिथिम्,असत्कारोत्,भूत
वानप्रस्थः वनम् अगच्छत्,वानप्रस्थः,वनम्,अगच्छत्,भूत
मुमुक्षुः मोक्षम् अवाञ्छत्,मुमुक्षुः,मोक्षम्,अवाञ्छत्,भूत
मेघः जलं वर्षति,मेघः,जलम्,वर्षति,वर्तमान
पवनः धूलिं उडयति,पवनः,धूलिम्,उडयति,वर्तमान
अग्निः वनं दहति,अग्निः,वनम्,दहति,वर्तमान
भूकम्पः गृहं कम्पयति,भूकम्पः,गृहम्,कम्पयति,वर्तमान
जलप्लावनं ग्रामं प्लावयति,जलप्लावनम्,ग्रामम्,प्लावयति,वर्तमान
अनावृष्टिः सस्यं शोषयति,अनावृष्टिः,सस्यम्,शोषयति,वर्तमान
अतिवृष्टिः नदीं वर्धयति,अतिवृष्टिः,नदीम्,वर्धयति,वर्तमान
हिमपातः मार्गं रुणद्धि,हिमपातः,मार्गम्,रुणद्धि,वर्तमान
धूमकेतुः भयं जनयति,धूमकेतुः,भयम्,जनयति,वर्तमान
ग्रहणं सूर्यम् आच्छादयति,ग्रहणम्,सूर्यम्,आच्छादयति,वर्तमान
मेघः जलं वर्षिष्यति,मेघः,जलम्,वर्षिष्यति,भविष्यत्
पवनः धूलिं उडयिष्यति,पवनः,धूलिम्,उडयिष्यति,भविष्यत्
अग्निः वनं धक्ष्यति,अग्निः,वनम्,धक्ष्यति,भविष्यत्
भूकम्पः गृहं कम्पयिष्यति,भूकम्पः,गृहम्,कम्पयिष्यति,भविष्यत्
जलप्लावनं ग्रामं प्लावयिष्यति,जलप्लावनम्,ग्रामम्,प्लावयिष्यति,भविष्यत्
अनावृष्टिः सस्यं शोषयिष्यति,अनावृष्टिः,सस्यम्,शोषयिष्यति,भविष्यत्
